Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu1,2,Leiden-LPA-v1,0.0047,0.2556,0.1658
lfr-n120-mu1,2,Leiden,0.0047,0.2556,0.1658
lfr-n120-mu1,3,Leiden-LPA-v1,0.0048,0.2562,0.1872
lfr-n120-mu1,3,Leiden,0.0047,0.2562,0.1872
lfr-n120-mu1,4,Leiden-LPA-v1,0.0043,0.2461,0.1923
lfr-n120-mu1,4,Leiden,0.0047,0.2461,0.1923
lfr-n120-mu1,5,Leiden-LPA-v1,0.0049,0.2424,0.1606
lfr-n120-mu1,5,Leiden,0.0049,0.2424,0.1606
lfr-n120-mu1,6,Leiden-LPA-v1,0.0047,0.2528,0.1555
lfr-n120-mu1,6,Leiden,0.0046,0.2528,0.1555
lfr-n120-mu1,7,Leiden-LPA-v1,0.0051,0.2521,0.1552
lfr-n120-mu1,7,Leiden,0.0051,0.2521,0.1552
lfr-n120-mu1,8,Leiden-LPA-v1,0.0048,0.2381,0.1912
lfr-n120-mu1,8,Leiden,0.0047,0.2381,0.1912
lfr-n120-mu1,9,Leiden-LPA-v1,0.0048,0.2495,0.1607
lfr-n120-mu1,9,Leiden,0.0045,0.2495,0.1607
lfr-n120-mu3,0,Leiden-LPA-v1,0.0039,0.4756,0.842
lfr-n120-mu3,0,Leiden,0.0035,0.4756,0.842
lfr-n120-mu3,1,Leiden-LPA-v1,0.0034,0.4754,0.8717
lfr-n120-mu3,1,Leiden,0.0034,0.4754,0.8717
lfr-n120-mu3,2,Leiden-LPA-v1,0.0036,0.4767,0.8455
lfr-n120-mu3,2,Leiden,0.004,0.4767,0.8455
lfr-n120-mu3,3,Leiden-LPA-v1,0.0035,0.4756,0.842
lfr-n120-mu3,3,Leiden,0.0035,0.4756,0.842
lfr-n120-mu3,4,Leiden-LPA-v1,0.0035,0.4756,0.842
lfr-n120-mu3,4,Leiden,0.0034,0.4756,0.842
lfr-n120-mu3,5,Leiden-LPA-v1,0.0034,0.4767,0.8455
lfr-n120-mu3,5,Leiden,0.0033,0.4767,0.8455
lfr-n120-mu3,6,Leiden-LPA-v1,0.0034,0.4756,0.842
lfr-n120-mu3,6,Leiden,0.0034,0.4756,0.842
lfr-n120-mu3,7,Leiden-LPA-v1,0.0034,0.4757,0.8663
lfr-n120-mu3,7,Leiden,0.0036,0.4757,0.8663
lfr-n120-mu3,8,Leiden-LPA-v1,0.0036,0.4756,0.842
lfr-n120-mu3,8,Leiden,0.0035,0.4756,0.842
lfr-n120-mu3,9,Leiden-LPA-v1,0.0034,0.4757,0.8663
lfr-n120-mu3,9,Leiden,0.004,0.4757,0.8663
lfr-n120-mu5,0,Leiden-LPA-v1,0.0049,0.282,0.2132
lfr-n120-mu5,0,Leiden,0.0044,0.282,0.2132
lfr-n120-mu5,1,Leiden-LPA-v1,0.0044,0.2858,0.1554
lfr-n120-mu5,1,Leiden,0.0043,0.2858,0.1554
lfr-n120-mu5,2,Leiden-LPA-v1,0.0048,0.2855,0.1928
lfr-n120-mu5,2,Leiden,0.0047,0.2855,0.1928
lfr-n120-mu5,3,Leiden-LPA-v1,0.0044,0.2929,0.1926
lfr-n120-mu5,3,Leiden,0.0044,0.2929,0.1926
lfr-n120-mu5,4,Leiden-LPA-v1,0.0047,0.2899,0.186
lfr-n120-mu5,4,Leiden,0.0042,0.2899,0.186
lfr-n120-mu5,5,Leiden-LPA-v1,0.0041,0.2938,0.1798
lfr-n120-mu5,5,Leiden,0.0041,0.2938,0.1798
lfr-n120-mu5,6,Leiden-LPA-v1,0.0043,0.2859,0.1878
lfr-n120-mu5,6,Leiden,0.0042,0.2859,0.1878
lfr-n120-mu5,7,Leiden-LPA-v1,0.0042,0.2902,0.2111
lfr-n120-mu5,7,Leiden,0.0042,0.2902,0.2111
lfr-n120-mu5,8,Leiden-LPA-v1,0.0042,0.2901,0.1872
lfr-n120-mu5,8,Leiden,0.0042,0.2901,0.1872
lfr-n120-mu5,9,Leiden-LPA-v1,0.0041,0.2837,0.2096
lfr-n120-mu5,9,Leiden,0.0041,0.2837,0.2096
lfr-n500-mu1,0,Leiden-LPA-v1,0.0171,0.5335,0.9628
lfr-n500-mu1,0,Leiden,0.0171,0.5335,0.9628
lfr-n500-mu1,1,Leiden-LPA-v1,0.0166,0.5335,0.9628
lfr-n500-mu1,1,Leiden,0.0166,0.5335,0.9628
lfr-n500-mu1,2,Leiden-LPA-v1,0.0157,0.5335,0.9628
lfr-n500-mu1,2,Leiden,0.0155,0.5335,0.9628
lfr-n500-mu1,3,Leiden-LPA-v1,0.0176,0.5335,0.9628
lfr-n500-mu1,3,Leiden,0.0166,0.5335,0.9628
lfr-n500-mu1,4,Leiden-LPA-v1,0.0159,0.5335,0.9628
lfr-n500-mu1,4,Leiden,0.0157,0.5335,0.9628
lfr-n500-mu1,5,Leiden-LPA-v1,0.0175,0.5335,0.9628
