Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu5,3,Leiden,0.0043,0.2929,0.1926
lfr-n120-mu5,4,Leiden-LPA-v4,0.0023,0.1888,0.0799
lfr-n120-mu5,4,Leiden,0.0041,0.2899,0.186
lfr-n120-mu5,5,Leiden-LPA-v4,0.0026,0.1649,0.137
lfr-n120-mu5,5,Leiden,0.004,0.2938,0.1798
lfr-n120-mu5,6,Leiden-LPA-v4,0.0028,0.1639,0.0858
lfr-n120-mu5,6,Leiden,0.0041,0.2859,0.1878
lfr-n120-mu5,7,Leiden-LPA-v4,0.0033,0.0375,0.1246
lfr-n120-mu5,7,Leiden,0.0042,0.2902,0.2111
lfr-n120-mu5,8,Leiden-LPA-v4,0.0028,0.0482,0.1405
lfr-n120-mu5,8,Leiden,0.0041,0.2901,0.1872
lfr-n120-mu5,9,Leiden-LPA-v4,0.0022,0.1888,0.0799
lfr-n120-mu5,9,Leiden,0.0041,0.2837,0.2096
lfr-n500-mu1,0,Leiden-LPA-v4,0.0085,0.4871,0.815
lfr-n500-mu1,0,Leiden,0.0169,0.5335,0.9628
lfr-n500-mu1,1,Leiden-LPA-v4,0.0082,0.4871,0.815
lfr-n500-mu1,1,Leiden,0.0175,0.5335,0.9628
lfr-n500-mu1,2,Leiden-LPA-v4,0.0098,0.5,0.8271
lfr-n500-mu1,2,Leiden,0.0157,0.5335,0.9628
lfr-n500-mu1,3,Leiden-LPA-v4,0.0096,0.5,0.8271
lfr-n500-mu1,3,Leiden,0.0169,0.5335,0.9628
lfr-n500-mu1,4,Leiden-LPA-v4,0.009,0.4871,0.815
lfr-n500-mu1,4,Leiden,0.0175,0.5335,0.9628
lfr-n500-mu1,5,Leiden-LPA-v4,0.0095,0.5,0.8271
lfr-n500-mu1,5,Leiden,0.0181,0.5335,0.9628
lfr-n500-mu1,6,Leiden-LPA-v4,0.0086,0.4786,0.811
lfr-n500-mu1,6,Leiden,0.0158,0.5335,0.9628
lfr-n500-mu1,7,Leiden-LPA-v4,0.0087,0.4871,0.815
lfr-n500-mu1,7,Leiden,0.0173,0.5335,0.9628
lfr-n500-mu1,8,Leiden-LPA-v4,0.0091,0.5,0.8271
lfr-n500-mu1,8,Leiden,0.0174,0.5335,0.9628
lfr-n500-mu1,9,Leiden-LPA-v4,0.0096,0.5,0.8271
lfr-n500-mu1,9,Leiden,0.0171,0.5335,0.9628
lfr-n500-mu3,0,Leiden-LPA-v4,0.0109,0.2557,0.431
lfr-n500-mu3,0,Leiden,0.02,0.4432,0.8663
lfr-n500-mu3,1,Leiden-LPA-v4,0.0118,0.2662,0.4255
lfr-n500-mu3,1,Leiden,0.0197,0.4429,0.8521
lfr-n500-mu3,2,Leiden-LPA-v4,0.0097,0.3121,0.4554
lfr-n500-mu3,2,Leiden,0.0197,0.4375,0.8298
lfr-n500-mu3,3,Leiden-LPA-v4,0.01,0.2675,0.4778
lfr-n500-mu3,3,Leiden,0.0195,0.4436,0.8563
lfr-n500-mu3,4,Leiden-LPA-v4,0.0089,0.2705,0.4353
