Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n5000-mu5,6,Leiden,0.2758,0.3282,0.3323
lfr-n5000-mu5,7,Leiden-LPA-v11,0.1717,0.313,0.316
lfr-n5000-mu5,7,Leiden,0.2835,0.3293,0.3328
lfr-n5000-mu5,8,Leiden-LPA-v11,0.162,0.3099,0.3266
lfr-n5000-mu5,8,Leiden,0.2966,0.3203,0.2946
lfr-n5000-mu5,9,Leiden-LPA-v11,0.1687,0.3083,0.3078
lfr-n5000-mu5,9,Leiden,0.2799,0.3309,0.342
lfr-n1000-mu1,0,Leiden-LPA-v11,0.0559,0.7491,0.9161
lfr-n1000-mu1,0,Leiden,0.026,0.7586,0.9716
lfr-n1000-mu1,1,Leiden-LPA-v11,0.0188,0.7491,0.9161
lfr-n1000-mu1,1,Leiden,0.0254,0.7586,0.9726
lfr-n1000-mu1,2,Leiden-LPA-v11,0.0182,0.7491,0.9161
lfr-n1000-mu1,2,Leiden,0.0251,0.7586,0.9716
lfr-n1000-mu1,3,Leiden-LPA-v11,0.0188,0.7491,0.9161
lfr-n1000-mu1,3,Leiden,0.028,0.7586,0.9716
lfr-n1000-mu1,4,Leiden-LPA-v11,0.0185,0.7491,0.9161
lfr-n1000-mu1,4,Leiden,0.0263,0.7586,0.9716
lfr-n1000-mu1,5,Leiden-LPA-v11,0.0184,0.7491,0.9161
lfr-n1000-mu1,5,Leiden,0.0265,0.7586,0.9716
lfr-n1000-mu1,6,Leiden-LPA-v11,0.019,0.7491,0.9161
lfr-n1000-mu1,6,Leiden,0.0259,0.7586,0.9716
lfr-n1000-mu1,7,Leiden-LPA-v11,0.0187,0.7491,0.9161
lfr-n1000-mu1,7,Leiden,0.0265,0.7586,0.9726
lfr-n1000-mu1,8,Leiden-LPA-v11,0.0185,0.7491,0.9161
lfr-n1000-mu1,8,Leiden,0.0259,0.7586,0.9716
lfr-n1000-mu1,9,Leiden-LPA-v11,0.0182,0.7491,0.9161
lfr-n1000-mu1,9,Leiden,0.0259,0.7586,0.9726
lfr-n1000-mu3,0,Leiden-LPA-v11,0.0196,0.5254,0.7125
lfr-n1000-mu3,0,Leiden,0.0305,0.5662,0.8801
lfr-n1000-mu3,1,Leiden-LPA-v11,0.0198,0.5329,0.719
lfr-n1000-mu3,1,Leiden,0.031,0.5659,0.8832
lfr-n1000-mu3,2,Leiden-LPA-v11,0.0195,0.5318,0.7203
lfr-n1000-mu3,2,Leiden,0.0316,0.5656,0.8899
lfr-n1000-mu3,3,Leiden-LPA-v11,0.0194,0.5334,0.7345
lfr-n1000-mu3,3,Leiden,0.0304,0.5646,0.8599
lfr-n1000-mu3,4,Leiden-LPA-v11,0.0199,0.5336,0.7416
lfr-n1000-mu3,4,Leiden,0.0306,0.5663,0.894
lfr-n1000-mu3,5,Leiden-LPA-v11,0.0195,0.5321,0.7455
lfr-n1000-mu3,5,Leiden,0.0307,0.5664,0.8742
lfr-n1000-mu3,6,Leiden-LPA-v11,0.0197,0.5321,0.7222
lfr-n1000-mu3,6,Leiden,0.0312,0.5667,0.8742
lfr-n1000-mu3,7,Leiden-LPA-v11,0.0199,0.5302,0.7138
lfr-n1000-mu3,7,Leiden,0.0311,0.5658,0.8953
lfr-n1000-mu3,8,Leiden-LPA-v11,0.0194,0.527,0.7096
lfr-n1000-mu3,8,Leiden,0.0306,0.5653,0.8792
lfr-n1000-mu3,9,Leiden-LPA-v11,0.0198,0.5334,0.7435
lfr-n1000-mu3,9,Leiden,0.0297,0.5651,0.8916
