Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu3,7,Leiden-LPA-coreratio_0.2,0.01,0.4693,0.5486
lfr-n1000-mu3,8,Leiden-LPA-coreratio_0.2,0.0099,0.4712,0.5687
lfr-n1000-mu3,9,Leiden-LPA-coreratio_0.2,0.01,0.4798,0.5832
lfr-n1000-mu3,0,Leiden-LPA-coreratio_0.3,0.0146,0.5108,0.6863
lfr-n1000-mu3,1,Leiden-LPA-coreratio_0.3,0.0145,0.5033,0.6463
lfr-n1000-mu3,2,Leiden-LPA-coreratio_0.3,0.0134,0.5028,0.6405
lfr-n1000-mu3,3,Leiden-LPA-coreratio_0.3,0.0133,0.5046,0.6528
lfr-n1000-mu3,4,Leiden-LPA-coreratio_0.3,0.0135,0.5081,0.6676
lfr-n1000-mu3,5,Leiden-LPA-coreratio_0.3,0.0132,0.5117,0.6764
lfr-n1000-mu3,6,Leiden-LPA-coreratio_0.3,0.0129,0.5046,0.6548
lfr-n1000-mu3,7,Leiden-LPA-coreratio_0.3,0.0135,0.5028,0.6609
lfr-n1000-mu3,8,Leiden-LPA-coreratio_0.3,0.013,0.5111,0.668
lfr-n1000-mu3,9,Leiden-LPA-coreratio_0.3,0.013,0.5149,0.6875
lfr-n1000-mu3,0,Leiden-LPA-coreratio_0.4,0.0172,0.5223,0.6978
lfr-n1000-mu3,1,Leiden-LPA-coreratio_0.4,0.0185,0.5234,0.7168
lfr-n1000-mu3,2,Leiden-LPA-coreratio_0.4,0.0166,0.5233,0.707
lfr-n1000-mu3,3,Leiden-LPA-coreratio_0.4,0.017,0.5208,0.6945
lfr-n1000-mu3,4,Leiden-LPA-coreratio_0.4,0.0161,0.521,0.7105
lfr-n1000-mu3,5,Leiden-LPA-coreratio_0.4,0.0163,0.5215,0.7045
lfr-n1000-mu3,6,Leiden-LPA-coreratio_0.4,0.0163,0.5196,0.6873
lfr-n1000-mu3,7,Leiden-LPA-coreratio_0.4,0.0169,0.5199,0.6878
