Graph,Core Ratio,Time (s),Modularity,NMI
lfr-n500-mu1,0.0,0.0023 (±0.0001),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n500-mu1,0.1,0.0045 (±0.0002),0.4053 (±0.0176),0.6638 (±0.0330)
lfr-n500-mu1,0.2,0.0061 (±0.0001),0.4807 (±0.0074),0.7834 (±0.0090)
lfr-n500-mu1,0.3,0.0080 (±0.0002),0.4906 (±0.0055),0.7995 (±0.0068)
lfr-n500-mu1,0.4,0.0100 (±0.0003),0.4996 (±0.0006),0.8093 (±0.0026)
lfr-n500-mu1,0.5,0.0118 (±0.0004),0.5153 (±0.0019),0.8663 (±0.0075)
lfr-n500-mu1,0.6,0.0141 (±0.0005),0.5159 (±0.0000),0.8529 (±0.0000)
lfr-n500-mu1,0.7,0.0161 (±0.0011),0.5183 (±0.0000),0.8584 (±0.0000)
lfr-n500-mu1,0.8,0.0175 (±0.0004),0.5294 (±0.0001),0.9282 (±0.0068)
lfr-n500-mu1,0.9,0.0193 (±0.0012),0.5325 (±0.0001),0.9564 (±0.0040)
lfr-n500-mu1,1.0,0.0212 (±0.0007),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu3,0.0,0.0022 (±0.0001),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n500-mu3,0.1,0.0042 (±0.0001),0.2311 (±0.0444),0.3157 (±0.0405)
lfr-n500-mu3,0.2,0.0060 (±0.0001),0.2951 (±0.0112),0.4147 (±0.0123)
lfr-n500-mu3,0.3,0.0082 (±0.0003),0.3367 (±0.0062),0.5048 (±0.0253)
lfr-n500-mu3,0.4,0.0103 (±0.0002),0.3640 (±0.0089),0.5761 (±0.0193)
lfr-n500-mu3,0.5,0.0129 (±0.0004),0.3915 (±0.0059),0.6579 (±0.0200)
lfr-n500-mu3,0.6,0.0196 (±0.0129),0.4136 (±0.0055),0.7451 (±0.0247)
lfr-n500-mu3,0.7,0.0175 (±0.0009),0.4257 (±0.0073),0.7849 (±0.0317)
lfr-n500-mu3,0.8,0.0200 (±0.0009),0.4332 (±0.0015),0.8203 (±0.0144)
lfr-n500-mu3,0.9,0.0220 (±0.0012),0.4394 (±0.0018),0.8271 (±0.0137)
lfr-n500-mu3,1.0,0.0249 (±0.0014),0.4424 (±0.0022),0.8619 (±0.0169)
lfr-n500-mu5,0.0,0.0022 (±0.0001),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n500-mu5,0.1,0.0043 (±0.0001),0.2351 (±0.0086),0.1940 (±0.0190)
lfr-n500-mu5,0.2,0.0061 (±0.0001),0.2577 (±0.0099),0.2148 (±0.0151)
lfr-n500-mu5,0.3,0.0129 (±0.0136),0.2796 (±0.0065),0.2793 (±0.0139)
lfr-n500-mu5,0.4,0.0111 (±0.0003),0.2844 (±0.0042),0.2453 (±0.0253)
lfr-n500-mu5,0.5,0.0135 (±0.0003),0.2890 (±0.0053),0.2856 (±0.0233)
lfr-n500-mu5,0.6,0.0171 (±0.0006),0.2949 (±0.0067),0.2903 (±0.0210)
lfr-n500-mu5,0.7,0.0199 (±0.0005),0.2957 (±0.0073),0.2525 (±0.0388)
lfr-n500-mu5,0.8,0.0226 (±0.0007),0.3015 (±0.0042),0.2799 (±0.0308)
lfr-n500-mu5,0.9,0.0267 (±0.0011),0.3038 (±0.0052),0.2686 (±0.0216)
lfr-n500-mu5,1.0,0.0298 (±0.0021),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n5000-mu1,0.0,0.0293 (±0.0150),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n5000-mu1,0.1,0.0478 (±0.0148),0.7554 (±0.0012),0.8707 (±0.0034)
lfr-n5000-mu1,0.2,0.0637 (±0.0134),0.7812 (±0.0005),0.9137 (±0.0022)
lfr-n5000-mu1,0.3,0.0762 (±0.0025),0.7883 (±0.0006),0.9334 (±0.0030)
lfr-n5000-mu1,0.4,0.1153 (±0.0241),0.7919 (±0.0003),0.9552 (±0.0014)
lfr-n5000-mu1,0.5,0.1298 (±0.0066),0.7939 (±0.0001),0.9650 (±0.0014)
lfr-n5000-mu1,0.6,0.1720 (±0.0289),0.7943 (±0.0001),0.9705 (±0.0013)
lfr-n5000-mu1,0.7,0.2018 (±0.0257),0.7949 (±0.0001),0.9750 (±0.0025)
lfr-n5000-mu1,0.8,0.2057 (±0.0198),0.7952 (±0.0001),0.9788 (±0.0005)
lfr-n5000-mu1,0.9,0.2358 (±0.0317),0.7953 (±0.0000),0.9807 (±0.0006)
lfr-n5000-mu1,1.0,0.2500 (±0.0268),0.7955 (±0.0000),0.9805 (±0.0015)
lfr-n5000-mu3,0.0,0.0257 (±0.0015),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n5000-mu3,0.1,0.0483 (±0.0017),0.4754 (±0.0042),0.6659 (±0.0070)
lfr-n5000-mu3,0.2,0.0697 (±0.0016),0.5189 (±0.0027),0.7578 (±0.0083)
lfr-n5000-mu3,0.3,0.0954 (±0.0021),0.5362 (±0.0015),0.8145 (±0.0095)
lfr-n5000-mu3,0.4,0.1303 (±0.0191),0.5456 (±0.0008),0.8485 (±0.0052)
lfr-n5000-mu3,0.5,0.1506 (±0.0046),0.5533 (±0.0014),0.8749 (±0.0056)
lfr-n5000-mu3,0.6,0.1842 (±0.0217),0.5592 (±0.0018),0.9054 (±0.0070)
lfr-n5000-mu3,0.7,0.2195 (±0.0237),0.5627 (±0.0008),0.9219 (±0.0040)
lfr-n5000-mu3,0.8,0.2476 (±0.0215),0.5641 (±0.0007),0.9324 (±0.0035)
lfr-n5000-mu3,0.9,0.2875 (±0.0315),0.5653 (±0.0010),0.9438 (±0.0053)
lfr-n5000-mu3,1.0,0.3134 (±0.0284),0.5663 (±0.0008),0.9483 (±0.0033)
lfr-n5000-mu5,0.0,0.0300 (±0.0024),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n5000-mu5,0.1,0.0563 (±0.0026),0.2700 (±0.0026),0.2182 (±0.0083)
lfr-n5000-mu5,0.2,0.3670 (±0.8801),0.2853 (±0.0018),0.2567 (±0.0086)
lfr-n5000-mu5,0.3,0.1339 (±0.0236),0.2945 (±0.0026),0.2908 (±0.0104)
lfr-n5000-mu5,0.4,0.1487 (±0.0036),0.3044 (±0.0014),0.3111 (±0.0129)
lfr-n5000-mu5,0.5,0.1914 (±0.0200),0.3080 (±0.0028),0.3327 (±0.0098)
lfr-n5000-mu5,0.6,0.2211 (±0.0161),0.3130 (±0.0045),0.3342 (±0.0205)
lfr-n5000-mu5,0.7,0.2597 (±0.0243),0.3188 (±0.0029),0.3357 (±0.0192)
lfr-n5000-mu5,0.8,0.2985 (±0.0286),0.3222 (±0.0030),0.3336 (±0.0196)
lfr-n5000-mu5,0.9,0.3356 (±0.0255),0.3237 (±0.0033),0.3337 (±0.0223)
lfr-n5000-mu5,1.0,0.3639 (±0.0272),0.3277 (±0.0033),0.3320 (±0.0219)
